ST,NG-STAR_CC
1251,213
1252,63
1253,1254
1254,73
1255,1271
1256,426
1257,464
1258,90
1259,124
1260,949
1261,2720
1262,1771
1263,158
1264,199
1265,Ungroupable
1266,426
1267,20
1268,301
1269,42
1270,426
1271,1271
1272,Ungroupable
1273,1771
1274,4825
1275,1271
1276,3087
1277,455
1278,Ungroupable
1279,38
1280,5585
1281,5513
1282,433
1283,1603
1284,1271
1285,606
1286,3380
1287,719
1288,38
1289,73
1290,899
1291,55
1292,1271
1293,433
1294,559
1295,442
1296,309
1297,732
1298,2028
1299,732
1300,426
1301,3311
1302,38
1303,426
1304,309
1305,158
1306,199
1307,5643
1308,1665
1309,949
1310,212
1311,1665
1312,309
1313,309
1314,5608
1315,433
1316,1695
1317,20
1318,1362
1319,433
1320,896
1321,427
1322,409
1323,1271
1324,199
1325,20
1326,309
1327,3035
1328,433
1329,38
1330,2599
1331,348
1332,124
1333,124
1334,442
1335,3087
1336,1215
1337,3087
1338,3035
1339,958
1340,1340
1341,2842
1342,63
1343,426
1344,470
1345,1271
1346,2209
1347,896
1348,442
1349,427
1350,426
1351,158
1352,158
1353,2599
1354,1096
1355,Ungroupable
1356,309
1357,567
1358,5232
1359,309
1360,1603
1361,1021
1362,1271
1363,Ungroupable
1364,199
1365,1271
1366,38
1367,427
1368,1038
1369,309
1370,63
1371,3420
1372,158
1373,42
1374,158
1375,55
1376,231
1377,231
1378,5584
1379,427
1380,20
1381,606
1382,240
1383,158
1384,1038
1385,247
1386,90
1387,1387
1388,2351
1389,2457
1390,231
1391,348
1392,199
1393,1418
1394,1430
1395,1958
1396,Ungroupable
1397,289
1398,1024
1399,127
1400,1958
1401,1401
1402,3654
1403,237
1404,1412
1405,1958
1406,1412
1407,1430
1408,4960
1409,1958
1410,20
1411,1645
1412,520
1413,520
1414,1077
1415,20
1416,1418
1417,Ungroupable
1418,20
1419,520
1420,158
1421,3087
1422,307
1423,307
1424,42
1425,4919
1426,237
1427,3597
1428,237
1429,17
1430,20
1431,2035
1432,17
1433,17
1434,190
1435,1958
1436,497
1437,4960
1438,661
1439,352
1440,3597
1441,3087
1442,Ungroupable
1443,867
1444,Ungroupable
1445,17
1446,190
1447,283
1448,190
1449,1958
1450,190
1451,Ungroupable
1452,755
1453,186
1454,309
1455,559
1456,Ungroupable
1457,309
1458,42
1459,42
1460,90
1461,55
1462,213
1463,127
1464,2351
1465,137
1466,4960
1467,3087
1468,51
1469,442
1470,3380
1471,90
1472,190
1473,1115
1474,1115
1475,139
1476,3087
1477,1418
1478,3087
1479,348
1480,158
1481,165
1482,343
1483,20
1484,20
1485,168
1486,168
1487,168
1488,168
1489,501
1490,168
1491,213
1492,1387
1493,1387
1494,958
1495,1054
1496,958
1497,958
1498,1054
1499,3597
1500,1583
1501,199
1502,1039
1503,168
1504,182
1505,352
1506,426
1507,90
1508,2209
1509,426
1510,190
1511,151
1512,1513
1513,168
1514,168
1515,520
1516,4718
1517,1115
1518,4718
1519,3035
1520,3597
1521,42
1522,158
1523,20
1524,168
1525,1632
1526,1526
1527,141
1528,142
1529,1194
1530,464
1531,577
1532,4520
1533,3597
1534,279
1535,352
1536,90
1537,1054
1538,1586
1539,893
1540,1054
1541,1958
1542,352
1543,958
1544,190
1545,311
1546,137
1547,137
1548,1054
1549,893
1550,1054
1551,1054
1553,3087
1554,2351
1555,1141
1556,4353
1557,178
1558,2098
1559,190
1560,1096
1561,1096
1562,73
1563,142
1564,178
1565,178
1566,190
1567,1271
1568,2904
1569,1771
1570,3087
1571,1627
1572,1387
1573,307
1574,199
1575,2753
1576,Ungroupable
1577,127
1578,409
1579,Ungroupable
1580,442
1581,442
1582,90
1583,90
1584,1054
1585,468
1586,1603
1587,90
1588,142
1589,3035
1590,127
1591,4718
1592,1115
1593,1054
1595,268
1596,933
1597,124
1598,3035
1599,2047
1600,127
1601,26
1602,442
1603,1603
1604,199
1605,199
1606,199
1607,567
1608,352
1609,497
1610,Ungroupable
1611,497
1612,497
1613,561
1614,520
1615,1615
1616,42
1617,442
1618,199
1619,90
1620,1698
1621,233
1622,233
1623,958
1624,1771
1625,309
1626,1833
1627,1271
1628,309
1629,157
1630,1958
1631,3597
1632,309
1633,1958
1634,1271
1635,1632
1636,1958
1637,2958
1638,348
1639,1771
1640,1958
1641,309
1642,1494
1643,309
1644,5603
1645,4960
1646,4835
1647,Ungroupable
1648,352
1649,1054
1650,1583
1651,1271
1652,1632
1653,1627
1654,1627
1655,4353
1656,199
1657,436
1658,427
1659,732
1660,3420
1661,427
1662,4353
1663,1771
1664,1664
1665,435
1666,427
1667,1271
1668,2069
1669,1771
1670,3938
1671,4353
1672,4199
1673,427
1674,1096
1675,1271
1676,1885
1677,436
1678,348
1679,427
1680,1489
1681,348
1682,348
1683,199
1684,497
1685,346
1686,1696
1687,1118
1688,199
1689,345
1690,199
1691,38
1692,2753
1693,127
1694,348
1695,199
1696,199
1697,199
1698,1698
1699,199
1700,199
1701,428
1702,2778
1703,428
1704,348
1705,199
1706,199
1707,1707
1708,497
1709,199
1710,127
1711,199
1712,168
1713,42
1714,190
1715,199
1716,348
1717,1179
1718,497
1719,199
1720,4353
1721,1665
1722,4353
1723,426
1724,4353
1725,1839
1726,1203
1727,1284
1728,455
1729,732
1730,268
1731,352
1732,928
1733,104
1734,928
1735,348
1736,73
1737,199
1738,199
1739,1464
1740,1464
1741,2473
1742,497
1743,1118
1744,348
1745,554
1746,958
1747,1054
1748,4530
1749,1958
1750,1529
1751,427
1752,426
1753,309
1754,1958
1755,309
1756,1890
1757,5508
1758,4728
1759,1271
1760,352
1761,Ungroupable
1762,309
1763,433
1764,1764
1765,352
1766,4725
1767,958
1768,1632
1769,4728
1770,4728
1771,1271
1772,352
1781,732
1782,427
1783,1367
1784,426
1785,Ungroupable
1786,567
1787,199
1788,2209
1789,4353
1791,4353
1792,Ungroupable
1793,719
1794,168
1797,1665
1798,719
1799,719
1800,719
1802,1271
1803,1764
1804,426
1805,1387
1807,90
1808,42
1809,426
1810,1387
1811,352
1812,436
1813,1606
1815,1387
1816,199
1817,42
1818,3420
1819,63
1820,42
1821,42
1822,442
1823,42
1824,1387
1825,1950
1827,1387
1828,1387
1830,Ungroupable
1831,606
1832,1387
1833,4728
1834,1958
1835,1958
1836,896
1837,896
1838,949
1839,1839
1840,2473
1841,309
1842,433
1843,427
1844,55
1845,390
1846,73
1847,124
1848,442
1849,436
1850,567
1851,1203
1852,Ungroupable
1853,719
1854,1665
1855,1751
1856,309
1857,1340
1858,1722
1859,Ungroupable
1860,1665
1861,1667
1862,455
1863,90
1864,1603
1865,1632
1866,168
1867,1869
1868,1061
1869,1615
1870,42
1871,1958
1872,42
1873,1096
1874,1056
1875,63
1876,427
1877,124
1878,442
1879,958
1880,1958
1881,442
1882,231
1883,428
1884,1038
1885,1885
1886,199
1887,231
1888,893
1889,55
1890,1271
1891,190
1892,Ungroupable
1893,178
1894,Ungroupable
1895,73
1896,732
1897,231
1898,442
1899,5584
1900,426
1901,1771
1902,3380
1903,178
1904,2018
1905,433
1906,55
1907,3574
1908,1124
1909,467
1910,433
1911,467
1912,426
1913,426
1914,42
1915,264
1916,Ungroupable
1917,168
1918,1818
1919,63
1920,427
1921,3380
1922,Ungroupable
1923,1959
1924,1487
1925,1925
1926,309
1927,719
1928,1487
1929,1271
1930,1271
1931,455
1932,Ungroupable
1933,309
1934,1627
1935,1632
1936,1632
1937,4758
1938,426
1939,Ungroupable
1940,1543
1941,4728
1942,4960
1943,1054
1944,5508
1945,309
1946,1627
1947,426
1948,352
1949,Ungroupable
1950,5513
1951,Ungroupable
1952,442
1953,2430
1954,1203
1955,949
1956,309
1957,1340
1958,1958
1959,Ungroupable
1960,1387
1961,199
1962,1271
1963,352
1964,301
1965,567
1966,1603
1967,1340
1968,754
1969,1615
1970,168
1971,168
1972,4728
1973,4960
1974,124
1975,38
1976,3409
1977,2467
1978,1771
1979,3574
1980,426
1981,1038
1982,168
1983,719
1984,3111
1985,Ungroupable
1986,Ungroupable
1987,158
1988,Ungroupable
1989,Ungroupable
1990,Ungroupable
1991,199
1992,Ungroupable
1993,213
1994,307
1995,307
1996,182
1997,63
1998,63
1999,352
2001,63
2002,63
2004,352
2005,949
2006,Ungroupable
2007,Ungroupable
2008,2924
2009,301
2010,352
2011,390
2012,1038
2013,20
2014,20
2015,20
2016,Ungroupable
2017,127
2018,4960
2019,309
2020,1096
2021,567
2022,85
2023,311
2024,1603
2025,352
2026,42
2027,352
2028,352
2029,42
2030,42
2031,1603
2032,352
2033,352
2034,352
2035,1958
2036,1458
2037,352
2038,2041
2039,2028
2040,2028
2041,352
2042,2028
2043,178
2044,309
2045,1096
2046,309
2047,442
2048,2047
2049,55
2050,1115
2051,307
2052,928
2053,352
2054,217
2055,178
2056,2057
2057,309
2058,309
2059,268
2060,2028
2061,309
2062,309
2063,53
2064,1096
2065,309
2066,309
2067,1096
2068,1096
2069,309
2070,567
2071,309
2072,309
2073,1096
2074,309
2075,309
2076,309
2077,90
2078,178
2079,2033
2080,309
2081,63
2082,63
2083,3420
2084,73
2085,427
2086,2041
2087,2036
2088,268
2089,2973
2090,2018
2091,2018
2092,352
2093,217
2094,1665
2095,Ungroupable
2096,2098
2097,2098
2098,2098
2099,217
2100,239
2101,84
2102,870
2103,2076
2104,2117
2105,90
2106,199
2107,3901
2108,90
2109,90
2110,256
2111,90
2112,90
2113,90
2114,468
2115,352
2116,239
2117,352
2118,3597
2119,268
2120,3111
2121,1340
2122,2033
2123,4960
2124,3035
2125,2804
2126,268
2127,384
2128,2028
2129,309
2130,26
2131,470
2132,801
2133,2041
2134,2034
2135,309
2136,20
2137,309
2138,309
2139,1096
2140,264
2141,90
2142,2028
2143,90
2144,63
2145,2039
2146,4960
2147,567
2148,1387
2149,442
2150,42
2151,42
2152,520
2153,348
2154,319
2155,2036
2156,896
2157,409
2158,55
2159,455
2160,567
2161,Ungroupable
2162,Ungroupable
2163,3035
2164,129
2165,345
2166,178
2167,178
2168,352
2169,178
2170,1603
2171,231
2172,182
2173,896
2174,168
2175,352
2176,Ungroupable
2177,1615
2178,1387
2179,38
2180,42
2181,194
2182,42
2183,63
2184,168
2185,1460
2186,1959
2187,168
2188,442
2189,1687
2190,127
2191,1387
2192,63
2193,63
