Sequence Type,NG-STAR_CC
1330,2599
1331,348
1332,124
1333,124
1334,137
1335,3087
1336,1215
1337,3087
1338,142
1339,958
1340,1340
1341,533
1342,63
1343,426
1344,73
1345,1771
1346,186
1347,2209
1348,137
1349,426
1350,426
1351,158
1352,158
1353,2599
1354,1096
1355,Ungroupable
1356,309
1357,247
1358,53
1359,309
1360,1586
1361,463
1362,1771
1363,38
1364,199
1365,1771
1366,38
1367,426
1368,1038
1369,309
1370,63
1371,1379
1372,158
1373,42
1374,158
1375,55
1376,231
1377,231
1378,Ungroupable
1379,426
1380,20
1381,3184
1382,240
1383,158
1384,1038
1385,247
1386,90
1387,1387
1388,1464
1389,515
1390,231
1391,348
1392,199
1393,1418
1394,1430
1395,1958
1396,Ungroupable
1397,777
1398,1024
1399,127
1400,1958
1401,1401
1402,1430
1403,237
1404,1412
1405,1958
1406,1412
1407,1430
1408,237
1409,1958
1410,20
1411,237
1412,663
1413,1077
1414,1077
1415,20
1416,1418
1417,533
1418,20
1419,1021
1420,158
1421,3087
1422,307
1423,307
1424,42
1425,366
1426,237
1427,3597
1428,237
1429,237
1430,20
1431,463
1432,17
1433,17
1434,190
1435,1958
1436,497
1437,17
1438,661
1439,352
1440,3597
1441,3087
1442,Ungroupable
1443,3087
1444,Ungroupable
1445,17
1446,390
1447,283
1448,390
1449,1958
1450,190
1451,Ungroupable
1452,755
1453,186
1454,309
1455,559
1456,Ungroupable
1457,309
1458,42
1459,42
1460,90
1461,55
1462,213
1463,127
1464,1464
1465,137
1466,17
1467,3087
1468,51
1469,442
1470,3380
1471,90
1472,190
1473,1115
1474,1115
1475,139
1476,3087
1477,1418
1478,3087
1479,348
1480,158
1481,165
1482,1449
1483,20
1484,20
1485,168
1486,168
1487,168
1488,168
1489,501
1490,168
1491,213
1492,199
1493,1387
1494,958
1495,958
1496,958
1497,958
1498,1054
1499,3597
1500,Ungroupable
1501,199
1502,Ungroupable
1503,168
1504,301
1505,352
1506,Ungroupable
1507,90
1508,2209
1509,426
1510,190
1511,151
1512,Ungroupable
1513,168
1514,168
1515,2904
1516,1054
1517,1115
1518,1132
1519,3035
1520,3597
1521,42
1522,158
1523,20
1524,168
1525,309
1526,Ungroupable
1527,1526
1528,142
1529,907
1530,891
1531,625
1532,3597
1533,1749
1534,Ungroupable
1535,352
1536,90
1537,1054
1538,1586
1539,893
1540,1054
1541,1958
1542,352
1543,958
1544,390
1545,311
1546,137
1547,137
1548,1054
1549,893
1550,1054
1551,1054
1552,755
1553,3087
1554,2351
1555,3264
1556,801
1557,178
1558,2098
1559,390
1560,309
1561,1096
1562,73
1563,142
1564,178
1565,178
1566,390
1567,1271
1568,2904
1569,1771
1570,3087
1571,1934
1572,1387
1573,307
1574,199
1575,2753
1576,395
1577,127
1578,409
1579,Ungroupable
1580,137
1581,395
1582,90
1583,1054
1584,1054
1585,468
1586,1586
1587,90
1588,142
1589,137
1590,127
1591,1132
1592,1115
1593,1054
1595,268
1596,933
1597,124
1598,137
1599,2047
1600,127
1601,26
1602,442
1603,1586
1604,199
1605,199
1606,199
1607,309
1608,352
1609,497
1610,Ungroupable
1611,497
1612,497
1613,561
1614,42
1615,1387
1616,42
1617,137
1618,199
1619,90
1620,1698
1621,233
1622,233
1623,958
1624,1771
1625,309
1626,1758
1627,1771
1628,309
1629,157
1630,1958
1631,3597
1632,309
1633,1958
1634,1771
1635,1632
1636,1958
1637,157
1638,348
1639,1771
1640,1958
1641,309
1642,1494
1643,309
1644,1634
1645,237
1646,42
1647,Ungroupable
1648,463
1649,1054
1650,937
1651,1771
1652,1096
1653,1632
1654,1627
1655,801
1656,199
1657,1804
1658,427
1659,732
1660,1031
1661,426
1662,801
1663,1771
1664,1641
1665,801
1666,427
1667,1771
1668,2069
1669,1771
1670,1662
1671,801
1672,Ungroupable
1673,426
1674,1096
1675,1771
1676,1885
1677,427
1678,348
1679,426
1680,1489
1681,348
1682,348
1683,199
1684,497
1685,346
1686,1696
1687,1687
1688,199
1689,345
1690,199
1691,38
1692,2753
1693,127
1694,348
1695,90
1696,199
1697,199
1698,1685
1699,199
1700,199
1701,428
1702,2778
1703,3789
1704,348
1705,199
1706,199
1707,199
1708,497
1709,199
1710,127
1711,199
1712,168
1713,42
1714,390
1715,199
1716,348
1717,1179
1718,497
1719,199
1720,801
1721,801
1722,801
1723,426
1724,801
1725,1839
1726,1203
1727,559
1728,455
1729,732
1730,268
1731,352
1732,928
1733,104
1734,928
1735,348
1736,73
1737,199
1738,199
1739,1464
